ST,CB,PB,GO,CA,RETURN,VOLAT
0,0,40,40,20,-0.021624981548089717,2.614236683208291
0,0,40,20,40,-0.09429327582768639,1.3989582654858372
0,0,40,0,60,0.0,2.3561625699537667
0,0,20,80,0,0.1350872580927048,6.0498934454683155
0,0,20,60,20,-0.11598123625532306,4.145498872581497
0,0,20,40,40,-0.021635069677495396,2.3604860272357047
0,0,20,20,60,-0.09433722157647344,1.4960589965482898
0,0,20,0,80,0.0,2.75617310461992
0,0,0,100,0,0.04062494833498845,7.678726008563018
0,0,0,80,20,0.13515032240706304,5.753285148254396
0,0,0,60,40,-0.11603532886918398,3.860471086561727
0,0,0,40,60,-0.021645167223607376,2.167908490162414
0,0,0,20,80,-0.0943812083064987,1.7243257430911132
0,0,0,0,100,0.0,3.1888350026601557
